Details || Player,Details || Nation,Details || Age,Details || Born,Details || Pos,Details || Squad,Details || Comp,Playing Time || MP,Playing Time || Starts,Playing Time || Min,Performance || Gls,Performance || Ast,Performance || G+A,Pct || Gls Percentile,Pct || Ast Percentile,Pct || G+A Percentile,Details || Squad 1,Details || Squad 2,Details || Comp 1,Details || Comp 2
Domen Črnigoj,si SVN,28,1995,MF,Venezia,it Serie A,8,1,136,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Venezia,,it Serie A,
Domingos André Ribeiro Almeida,pt POR,24,2000,"MF,FW",Valencia,es La Liga,34,24,1977,0,4,4,19.572953736654803,86.98102016607355,65.0355871886121,Valencia,,es La Liga,
Dominic Calvert-Lewin,eng ENG,27,1997,FW,Everton,eng Premier League,26,19,1609,3,1,4,72.27164887307237,53.084223013048636,65.0355871886121,Everton,,eng Premier League,
Dominic Solanke,eng ENG,26,1997,FW,Tottenham,eng Premier League,27,25,2201,9,3,12,92.88256227758008,79.7153024911032,90.74733096085409,Tottenham,,eng Premier League,
Dominik Javorček,sk SVK,21,2002,"DF,MF",Holstein Kiel,de Bundesliga,13,4,386,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Holstein Kiel,,de Bundesliga,
Dominik Kohr,de GER,30,1994,"DF,MF",Mainz 05,de Bundesliga,28,28,2295,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Mainz 05,,de Bundesliga,
Dominik Szoboszlai,hu HUN,23,2000,MF,Liverpool,eng Premier League,36,29,2491,6,6,12,86.71411625148279,94.09845788849347,90.74733096085409,Liverpool,,eng Premier League,
Donny van de Beek,nl NED,27,1997,MF,Girona,es La Liga,26,16,1421,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Girona,,es La Liga,
Donyell Malen,nl NED,25,1999,"FW, FW,MF","Aston Villa,Dortmund","eng Premier League,de Bundesliga",28,8,919,6,0,6,86.71411625148279,21.5005931198102,75.62277580071175,Aston Villa,Dortmund,eng Premier League,de Bundesliga
Douglas,br BRA,27,1997,MF,Nantes,fr Ligue 1,28,28,2307,4,2,6,78.97390272835112,69.42467378410439,75.62277580071175,Nantes,,fr Ligue 1,
Douglas Luiz,br BRA,26,1998,MF,Juventus,it Serie A,19,3,529,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Juventus,,it Serie A,
Drissa Camara,ci CIV,22,2002,"MF,FW",Parma,it Serie A,21,1,447,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Parma,,it Serie A,
Duk,cv CPV,24,2000,"MF,FW",Leganés,es La Liga,10,1,179,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Leganés,,es La Liga,
