Details || Player,Details || Nation,Details || Age,Details || Born,Details || Pos,Details || Squad,Details || Comp,Playing Time || MP,Playing Time || Starts,Playing Time || Min,Performance || Gls,Performance || Ast,Performance || G+A,Pct || Gls Percentile,Pct || Ast Percentile,Pct || G+A Percentile,Details || Squad 1,Details || Squad 2,Details || Comp 1,Details || Comp 2
Aaron Ciammaglichella,it ITA,19,2005,MF,Torino,it Serie A,1,0,1,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Torino,,it Serie A,
Aaron Malouda,fr FRA,18,2005,FW,Lille,fr Ligue 1,1,0,2,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lille,,fr Ligue 1,
Abdallah Sima,sn SEN,23,2001,"FW,MF",Brest,fr Ligue 1,27,14,1238,7,2,9,89.35349940688019,69.42467378410439,84.4306049822064,Brest,,fr Ligue 1,
Abde Ezzalzouli,ma MAR,22,2001,"FW,MF",Betis,es La Liga,32,23,1984,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Betis,,es La Liga,
Abderrahman Rebbach,dz ALG,25,1998,"FW,MF",Alavés,es La Liga,8,4,385,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Alavés,,es La Liga,
Abdou Harroui,nl NED,26,1998,"MF,FW",Hellas Verona,it Serie A,10,5,463,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Hellas Verona,,it Serie A,
Abdoulaye Doucouré,ml MLI,31,1993,MF,Everton,eng Premier League,33,31,2564,3,2,5,72.27164887307237,69.42467378410439,71.14472123368921,Everton,,eng Premier League,
Abdoulaye Keita,es ESP,21,2002,"FW,MF",Getafe,es La Liga,3,1,95,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Getafe,,es La Liga,
Abdoulaye Touré,gn GUI,30,1994,MF,Le Havre,fr Ligue 1,28,26,2324,10,1,11,94.54329774614472,53.084223013048636,89.1459074733096,Le Havre,,fr Ligue 1,
Abdoulie Ceesay,gm GAM,20,2004,FW,St. Pauli,de Bundesliga,7,0,60,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,St. Pauli,,de Bundesliga,
Abdul Fatawu Issahaku,gh GHA,20,2004,FW,Leicester City,eng Premier League,11,6,579,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Leicester City,,eng Premier League,
Abdón Prats,es ESP,31,1992,"FW,MF",Mallorca,es La Liga,24,3,456,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Mallorca,,es La Liga,
Abel Ruiz,es ESP,24,2000,FW,Girona,es La Liga,23,17,1346,4,0,4,78.97390272835112,21.5005931198102,65.0355871886121,Girona,,es La Liga,
Aboubacar Bassinga,ci CIV,19,2005,MF,Las Palmas,es La Liga,1,0,4,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Las Palmas,,es La Liga,
Adam Armstrong,eng ENG,27,1997,"FW,MF",Southampton,eng Premier League,20,15,1248,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Southampton,,eng Premier League,
Adam Dźwigała,pl POL,28,1995,"DF,MF",St. Pauli,de Bundesliga,16,2,373,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,St. Pauli,,de Bundesliga,
Adam Hložek,cz CZE,22,2002,"FW,MF",Hoffenheim,de Bundesliga,27,22,1871,8,4,12,91.19217081850533,86.98102016607355,90.74733096085409,Hoffenheim,,de Bundesliga,
Adam Lallana,eng ENG,36,1988,MF,Southampton,eng Premier League,14,5,361,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Southampton,,eng Premier League,
Adam Wharton,eng ENG,20,2004,MF,Crystal Palace,eng Premier League,20,16,1318,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Crystal Palace,,eng Premier League,
Adama Boiro,es ESP,22,2002,"DF,FW",Athletic Club,es La Liga,18,13,1101,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Athletic Club,,es La Liga,
Adama Traoré,es ESP,28,1996,"FW,MF",Fulham,eng Premier League,36,18,1772,2,7,9,62.30723606168446,96.17437722419929,84.4306049822064,Fulham,,eng Premier League,
Ademola Lookman,ng NGA,26,1997,"MF,FW",Atalanta,it Serie A,31,28,2247,15,5,20,98.2502965599051,91.48873072360617,97.83511269276394,Atalanta,,it Serie A,
Adnan Januzaj,be BEL,29,1995,"MF,FW",Las Palmas,es La Liga,18,5,598,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Las Palmas,,es La Liga,
Ado Onaiwu,jp JPN,28,1995,"MF,FW",Auxerre,fr Ligue 1,31,9,957,4,1,5,78.97390272835112,53.084223013048636,71.14472123368921,Auxerre,,fr Ligue 1,
Adri Embarba,es ESP,32,1992,"FW,MF",Rayo Vallecano,es La Liga,35,18,1607,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Rayo Vallecano,,es La Liga,
Adrian Baquerin,es ESP,17,2007,FW,Valladolid,es La Liga,5,0,49,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Valladolid,,es La Liga,
Adrian Beck,de GER,27,1997,"MF,FW",Heidenheim,de Bundesliga,32,18,1598,4,1,5,78.97390272835112,53.084223013048636,71.14472123368921,Heidenheim,,de Bundesliga,
Adrian Benedyczak,pl POL,23,2000,"FW,MF",Parma,it Serie A,9,2,214,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Parma,,it Serie A,
Adrian Bernabe,es ESP,23,2001,MF,Parma,it Serie A,21,18,1453,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Parma,,it Serie A,
Adrian Niño,es ESP,20,2004,FW,Atlético Madrid,es La Liga,1,0,12,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Atlético Madrid,,es La Liga,
Adrien Rabiot,fr FRA,29,1995,MF,Marseille,fr Ligue 1,29,27,2485,9,4,13,92.88256227758008,86.98102016607355,92.05219454329774,Marseille,,fr Ligue 1,
Adrien Tameze,cm CMR,30,1994,"MF,DF",Torino,it Serie A,20,9,649,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Torino,,it Serie A,
Adrien Thomasson,fr FRA,30,1993,MF,Lens,fr Ligue 1,33,31,2615,3,7,10,72.27164887307237,96.17437722419929,87.18861209964413,Lens,,fr Ligue 1,
Adrien Truffert,fr FRA,22,2001,"DF,MF",Rennes,fr Ligue 1,33,31,2752,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Rennes,,fr Ligue 1,
Adrià Altimira,es ESP,23,2001,"DF,FW",Leganés,es La Liga,22,19,1630,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Leganés,,es La Liga,
Adu Ares,es ESP,22,2001,FW,Athletic Club,es La Liga,1,0,19,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Athletic Club,,es La Liga,
Aimar Oroz,es ESP,22,2001,MF,Osasuna,es La Liga,37,35,2966,5,4,9,83.27402135231317,86.98102016607355,84.4306049822064,Osasuna,,es La Liga,
Aimen Moueffek,fr FRA,23,2001,MF,Saint-Étienne,fr Ligue 1,22,13,1039,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Saint-Étienne,,fr Ligue 1,
Aingeru Olabarrieta,es ESP,18,2005,FW,Athletic Club,es La Liga,1,1,54,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Athletic Club,,es La Liga,
Aitor Ruibal,es ESP,28,1996,"DF,FW",Betis,es La Liga,29,13,1313,1,3,4,47.805456702253856,79.7153024911032,65.0355871886121,Betis,,es La Liga,
Akor Adams,ng NGA,24,2000,FW,"Sevilla,Montpellier","es La Liga,fr Ligue 1",19,14,1209,3,1,4,72.27164887307237,53.084223013048636,65.0355871886121,Sevilla,Montpellier,es La Liga,fr Ligue 1
Alassane Pléa,fr FRA,31,1993,"MF,FW",Gladbach,de Bundesliga,30,24,1902,11,4,15,95.93712930011863,86.98102016607355,94.66192170818505,Gladbach,,de Bundesliga,
Albert Grønbaek,dk DEN,23,2001,"FW,MF, MF,FW","Southampton,Rennes","eng Premier League,fr Ligue 1",20,11,956,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Southampton,Rennes,eng Premier League,fr Ligue 1
Albert Guðmundsson,is ISL,27,1997,"FW,MF",Fiorentina,it Serie A,24,16,1273,6,1,7,86.71411625148279,53.084223013048636,79.2111506524318,Fiorentina,,it Serie A,
Albert Sambi Lokonga,be BEL,24,1999,MF,Sevilla,es La Liga,22,16,1471,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Sevilla,,es La Liga,
Alberto Cerri,it ITA,28,1996,FW,Como,it Serie A,5,0,87,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Como,,it Serie A,
Alberto Grassi,it ITA,29,1995,MF,Empoli,it Serie A,28,27,2203,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Empoli,,it Serie A,
Alberto Manzoni,it ITA,19,2005,MF,Atalanta,it Serie A,1,0,6,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Atalanta,,it Serie A,
Alberto Marí,es ESP,23,2001,FW,Valencia,es La Liga,1,0,7,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Valencia,,es La Liga,
Alberto Moleiro,es ESP,20,2003,"FW,MF",Las Palmas,es La Liga,35,32,2714,6,1,7,86.71411625148279,53.084223013048636,79.2111506524318,Las Palmas,,es La Liga,
Alberto Risco,es ESP,18,2005,"MF,FW",Getafe,es La Liga,5,0,69,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Getafe,,es La Liga,
Aleix García,es ESP,27,1997,MF,Leverkusen,de Bundesliga,28,17,1455,3,4,7,72.27164887307237,86.98102016607355,79.2111506524318,Leverkusen,,de Bundesliga,
Alejandro Garnacho,ar ARG,20,2004,"MF,FW",Manchester Utd,eng Premier League,36,23,2199,6,2,8,86.71411625148279,69.42467378410439,81.73190984578885,Manchester Utd,,eng Premier League,
Alejandro Jiménez,es ESP,19,2005,"DF,FW",Milan,it Serie A,22,14,1266,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Milan,,it Serie A,
Alejandro Rodriguez,pt POR,16,2008,MF,Lyon,fr Ligue 1,1,0,20,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lyon,,fr Ligue 1,
Alejo Véliz,ar ARG,20,2003,FW,Espanyol,es La Liga,27,10,1127,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Espanyol,,es La Liga,
Aleksandar Pavlovic,de GER,20,2004,MF,Bayern Munich,de Bundesliga,21,18,1451,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Bayern Munich,,de Bundesliga,
Aleksandr Golovin,ru RUS,28,1996,"MF,FW",Monaco,fr Ligue 1,19,13,1153,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Monaco,,fr Ligue 1,
Alessandro Bianco,it ITA,21,2002,MF,"Monza,Fiorentina","it Serie A,it Serie A",35,29,2618,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Monza,Fiorentina,it Serie A,it Serie A
Alessandro Deiola,it ITA,28,1995,MF,Cagliari,it Serie A,29,16,1432,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Cagliari,,it Serie A,
Alessandro Florenzi,it ITA,33,1991,FW,Milan,it Serie A,1,0,5,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Milan,,it Serie A,
Alessandro Gabrielloni,it ITA,30,1994,"FW,MF",Como,it Serie A,15,0,142,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Como,,it Serie A,
Alessandro Zanoli,it ITA,23,2000,"FW,DF",Genoa,it Serie A,31,19,1711,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Genoa,,it Serie A,
Alessio Cacciamani,it ITA,17,2007,"MF,DF",Torino,it Serie A,2,0,31,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Torino,,it Serie A,
Alessio Iovine,it ITA,33,1991,"DF,FW",Como,it Serie A,10,3,387,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Como,,it Serie A,
Alessio Zerbin,it ITA,25,1999,"DF, FW,DF","Venezia,Napoli","it Serie A,it Serie A",20,17,1520,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Venezia,Napoli,it Serie A,it Serie A
Alex Baena,es ESP,23,2001,"MF,FW",Villarreal,es La Liga,32,30,2595,7,9,16,89.35349940688019,98.69513641755634,95.72953736654804,Villarreal,,es La Liga,
Alex Iwobi,ng NGA,28,1996,"FW,MF",Fulham,eng Premier League,38,35,2981,9,6,15,92.88256227758008,94.09845788849347,94.66192170818505,Fulham,,eng Premier League,
Alex Král,cz CZE,26,1998,MF,Espanyol,es La Liga,37,29,2714,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Espanyol,,es La Liga,
Alex Scott,eng ENG,20,2003,MF,Bournemouth,eng Premier League,20,8,755,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Bournemouth,,eng Premier League,
Alex Sola,es ESP,25,1999,"MF,FW",Getafe,es La Liga,19,13,1029,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Getafe,,es La Liga,
Alexander Bernhardsson,se SWE,25,1998,"FW,MF",Holstein Kiel,de Bundesliga,19,15,1263,7,2,9,89.35349940688019,69.42467378410439,84.4306049822064,Holstein Kiel,,de Bundesliga,
Alexander Isak,se SWE,24,1999,FW,Newcastle Utd,eng Premier League,34,34,2756,23,6,29,99.70344009489916,94.09845788849347,99.67378410438909,Newcastle Utd,,eng Premier League,
Alexander Sørloth,no NOR,28,1995,FW,Atlético Madrid,es La Liga,35,15,1566,20,2,22,99.16963226571768,69.42467378410439,98.54685646500593,Atlético Madrid,,es La Liga,
Alexandre Lacazette,fr FRA,33,1991,FW,Lyon,fr Ligue 1,30,24,2051,15,2,17,98.2502965599051,69.42467378410439,96.53024911032028,Lyon,,fr Ligue 1,
Alexis Claude-Maurice,fr FRA,26,1998,"MF,FW",Augsburg,de Bundesliga,28,25,2109,9,2,11,92.88256227758008,69.42467378410439,89.1459074733096,Augsburg,,de Bundesliga,
Alexis Mac Allister,ar ARG,25,1998,MF,Liverpool,eng Premier League,35,30,2599,5,5,10,83.27402135231317,91.48873072360617,87.18861209964413,Liverpool,,eng Premier League,
Alexis Saelemaekers,be BEL,25,1999,"DF,FW","Roma,Milan","it Serie A,it Serie A",23,18,1479,7,3,10,89.35349940688019,79.7153024911032,87.18861209964413,Roma,Milan,it Serie A,it Serie A
Alexis Sánchez,cl CHI,35,1988,FW,Udinese,it Serie A,13,6,437,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Udinese,,it Serie A,
Alfon,es ESP,25,1999,"FW,MF",Celta Vigo,es La Liga,26,14,1371,5,2,7,83.27402135231317,69.42467378410439,79.2111506524318,Celta Vigo,,es La Liga,
Alfonso Pedraza,es ESP,28,1996,"DF,MF",Villarreal,es La Liga,12,4,460,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Villarreal,,es La Liga,
Alfred Duncan,gh GHA,31,1993,MF,Venezia,it Serie A,16,12,957,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Venezia,,it Serie A,
Ali Abdi,tn TUN,30,1993,"DF,MF",Nice,fr Ligue 1,25,17,1393,5,2,7,83.27402135231317,69.42467378410439,79.2111506524318,Nice,,fr Ligue 1,
Ali Al Hamadi,iq IRQ,22,2002,FW,Ipswich Town,eng Premier League,11,0,134,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Ipswich Town,,eng Premier League,
Ali Jasim,iq IRQ,20,2004,"FW,DF",Como,it Serie A,2,0,10,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Como,,it Serie A,
Alieu Fadera,gm GAM,22,2001,"FW,DF",Como,it Serie A,28,20,1644,1,3,4,47.805456702253856,79.7153024911032,65.0355871886121,Como,,it Serie A,
Aliou Badara Baldé,gn GUI,21,2002,"MF,FW",Bochum,de Bundesliga,5,0,91,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Bochum,,de Bundesliga,
Aljoscha Kemlein,de GER,19,2004,MF,Union Berlin,de Bundesliga,15,11,922,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Union Berlin,,de Bundesliga,
Allan Nyom,cm CMR,36,1988,"DF,MF",Getafe,es La Liga,20,10,887,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Getafe,,es La Liga,
Almoatasem Al Musrati,ly LBY,28,1996,MF,Monaco,fr Ligue 1,10,3,386,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Monaco,,fr Ligue 1,
Alois Confais,fr FRA,27,1996,MF,Le Havre,fr Ligue 1,1,0,3,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Le Havre,,fr Ligue 1,
Alphadjo Cissè,it ITA,17,2006,"FW,MF",Hellas Verona,it Serie A,2,0,9,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Hellas Verona,,it Serie A,
Amad Diallo,ci CIV,22,2002,"MF,FW",Manchester Utd,eng Premier League,26,20,1901,8,6,14,91.19217081850533,94.09845788849347,93.44602609727166,Manchester Utd,,eng Premier League,
Amadou Haidara,ml MLI,26,1998,MF,RB Leipzig,de Bundesliga,28,16,1320,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,RB Leipzig,,de Bundesliga,
Amadou Koné,ml MLI,19,2005,MF,Reims,fr Ligue 1,24,17,1293,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Reims,,fr Ligue 1,
Amadou Onana,be BEL,22,2001,MF,Aston Villa,eng Premier League,26,20,1617,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Aston Villa,,eng Premier League,
Amath,sn SEN,28,1996,"FW,DF",Valladolid,es La Liga,13,5,375,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Valladolid,,es La Liga,
Amin Sarr,se SWE,23,2001,FW,Hellas Verona,it Serie A,32,25,1907,4,1,5,78.97390272835112,53.084223013048636,71.14472123368921,Hellas Verona,,it Serie A,
Amine Adli,ma MAR,24,2000,"MF,FW",Leverkusen,de Bundesliga,20,6,766,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Leverkusen,,de Bundesliga,
Amine Gouiri,dz ALG,24,2000,"FW,MF, MF,FW","Marseille,Rennes","fr Ligue 1,fr Ligue 1",33,23,2085,13,5,18,97.44958481613286,91.48873072360617,97.0344009489917,Marseille,Rennes,fr Ligue 1,fr Ligue 1
Amine Harit,ma MAR,27,1997,MF,Marseille,fr Ligue 1,13,8,519,2,4,6,62.30723606168446,86.98102016607355,75.62277580071175,Marseille,,fr Ligue 1,
Amine Salama,fr FRA,24,2000,FW,Reims,fr Ligue 1,17,2,373,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Reims,,fr Ligue 1,
Amir Richardson,ma MAR,22,2002,MF,Fiorentina,it Serie A,27,10,1099,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Fiorentina,,it Serie A,
Anass Zaroury,ma MAR,23,2000,"FW,MF",Lens,fr Ligue 1,28,16,1405,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Lens,,fr Ligue 1,
Anastasios Douvikas,gr GRE,24,1999,FW,"Como,Celta Vigo","it Serie A,es La Liga",33,12,1280,5,3,8,83.27402135231317,79.7153024911032,81.73190984578885,Como,Celta Vigo,it Serie A,es La Liga
Ander Barrenetxea,es ESP,22,2001,"MF,FW",Real Sociedad,es La Liga,30,14,1263,1,3,4,47.805456702253856,79.7153024911032,65.0355871886121,Real Sociedad,,es La Liga,
Ander Guevara,es ESP,27,1997,MF,Alavés,es La Liga,33,20,1947,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Alavés,,es La Liga,
Ander Herrera,es ESP,34,1989,MF,Athletic Club,es La Liga,8,2,273,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Athletic Club,,es La Liga,
Andre-Frank Zambo Anguissa,cm CMR,28,1995,MF,Napoli,it Serie A,35,32,2852,6,4,10,86.71411625148279,86.98102016607355,87.18861209964413,Napoli,,it Serie A,
Andrea Belotti,it ITA,30,1993,FW,Como,it Serie A,18,7,593,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Como,,it Serie A,
Andrea Cambiaso,it ITA,24,2000,"DF,FW",Juventus,it Serie A,33,25,2221,2,3,5,62.30723606168446,79.7153024911032,71.14472123368921,Juventus,,it Serie A,
Andrea Colpani,it ITA,25,1999,"FW,MF",Fiorentina,it Serie A,25,18,1450,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Fiorentina,,it Serie A,
Andrea Petagna,it ITA,29,1995,FW,Monza,it Serie A,13,2,335,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Monza,,it Serie A,
Andrea Pinamonti,it ITA,25,1999,FW,Genoa,it Serie A,36,33,2850,10,1,11,94.54329774614472,53.084223013048636,89.1459074733096,Genoa,,it Serie A,
Andreas Albers,dk DEN,34,1990,FW,St. Pauli,de Bundesliga,14,0,62,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,St. Pauli,,de Bundesliga,
Andreas Pereira,br BRA,28,1996,MF,Fulham,eng Premier League,33,25,2013,2,4,6,62.30723606168446,86.98102016607355,75.62277580071175,Fulham,,eng Premier League,
Andreas Skov Olsen,dk DEN,24,1999,"FW,MF",Wolfsburg,de Bundesliga,12,4,535,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Wolfsburg,,de Bundesliga,
Andrej Ilic,rs SRB,24,2000,FW,Union Berlin,de Bundesliga,16,11,937,7,0,7,89.35349940688019,21.5005931198102,79.2111506524318,Union Berlin,,de Bundesliga,
Andrej Kramarić,hr CRO,33,1991,"MF,FW",Hoffenheim,de Bundesliga,32,32,2767,11,8,19,95.93712930011863,97.68683274021352,97.47924080664295,Hoffenheim,,de Bundesliga,
Andrey Santos,br BRA,20,2004,MF,Strasbourg,fr Ligue 1,32,32,2855,10,3,13,94.54329774614472,79.7153024911032,92.05219454329774,Strasbourg,,fr Ligue 1,
András Schäfer,hu HUN,25,1999,MF,Union Berlin,de Bundesliga,26,17,1534,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Union Berlin,,de Bundesliga,
André,br BRA,23,2001,MF,Wolves,eng Premier League,33,31,2472,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Wolves,,eng Premier League,
André Ayew,gh GHA,34,1989,FW,Le Havre,fr Ligue 1,27,15,1453,4,1,5,78.97390272835112,53.084223013048636,71.14472123368921,Le Havre,,fr Ligue 1,
André Gomes,pt POR,31,1993,MF,Lille,fr Ligue 1,20,16,1276,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lille,,fr Ligue 1,
André Silva,pt POR,28,1995,"FW, FW,MF","Werder Bremen,RB Leipzig","de Bundesliga,de Bundesliga",15,4,507,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Werder Bremen,RB Leipzig,de Bundesliga,de Bundesliga
Andrés García,es ESP,21,2003,"DF,MF",Aston Villa,eng Premier League,7,5,318,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Aston Villa,,eng Premier League,
Andu Kelati,de GER,21,2002,"MF,DF",Holstein Kiel,de Bundesliga,8,2,288,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Holstein Kiel,,de Bundesliga,
Andy Delort,dz ALG,32,1991,FW,Montpellier,fr Ligue 1,9,8,607,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Montpellier,,fr Ligue 1,
Andy Diouf,fr FRA,21,2003,MF,Lens,fr Ligue 1,34,27,2225,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Lens,,fr Ligue 1,
Andy Irving,sct SCO,24,2000,MF,West Ham,eng Premier League,10,1,166,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,West Ham,,eng Premier League,
Ange Martial Tia,ml MLI,17,2006,"MF,DF",Reims,fr Ligue 1,6,2,171,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Reims,,fr Ligue 1,
Ange-Yoan Bonny,fr FRA,20,2003,FW,Parma,it Serie A,37,30,2529,6,4,10,86.71411625148279,86.98102016607355,87.18861209964413,Parma,,it Serie A,
Angel Gomes,eng ENG,23,2000,MF,Lille,fr Ligue 1,14,10,736,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Lille,,fr Ligue 1,
Angelo Fulgini,fr FRA,27,1996,"MF,FW",Lens,fr Ligue 1,23,11,1045,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Lens,,fr Ligue 1,
Angelo Stiller,de GER,23,2001,MF,Stuttgart,de Bundesliga,32,31,2741,1,8,9,47.805456702253856,97.68683274021352,84.4306049822064,Stuttgart,,de Bundesliga,
Ansgar Knauff,de GER,22,2002,"MF,DF",Eint Frankfurt,de Bundesliga,30,18,1597,4,5,9,78.97390272835112,91.48873072360617,84.4306049822064,Eint Frankfurt,,de Bundesliga,
Ansu Fati,es ESP,21,2002,FW,Barcelona,es La Liga,6,3,233,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Barcelona,,es La Liga,
Ante Budimir,hr CRO,33,1991,FW,Osasuna,es La Liga,38,34,2952,21,4,25,99.40688018979834,86.98102016607355,99.22894424673784,Osasuna,,es La Liga,
Ante Rebić,hr CRO,30,1993,"FW,MF",Lecce,it Serie A,27,7,788,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Lecce,,it Serie A,
Anthony Elanga,se SWE,22,2002,"FW,MF",Nott'ham Forest,eng Premier League,38,31,2501,6,11,17,86.71411625148279,99.61447212336893,96.53024911032028,Nott'ham Forest,,eng Premier League,
Anthony Gordon,eng ENG,23,2001,"FW,MF",Newcastle Utd,eng Premier League,34,28,2434,6,5,11,86.71411625148279,91.48873072360617,89.1459074733096,Newcastle Utd,,eng Premier League,
Anthony Losilla,fr FRA,38,1986,MF,Bochum,de Bundesliga,21,13,1137,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Bochum,,de Bundesliga,
Antoine Bernede,fr FRA,25,1999,MF,Hellas Verona,it Serie A,14,7,594,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Hellas Verona,,it Serie A,
Antoine Griezmann,fr FRA,33,1991,"FW,MF",Atlético Madrid,es La Liga,38,29,2469,8,7,15,91.19217081850533,96.17437722419929,94.66192170818505,Atlético Madrid,,es La Liga,
Antoine Hainaut,fr FRA,22,2002,"DF,FW",Parma,it Serie A,25,10,1206,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Parma,,it Serie A,
Antoine Joujou,fr FRA,21,2003,"MF,FW",Le Havre,fr Ligue 1,26,9,943,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Le Havre,,fr Ligue 1,
Antoine Makoumbou,cg CGO,26,1998,MF,Cagliari,it Serie A,33,27,2150,0,3,3,19.572953736654803,79.7153024911032,57.147093712930015,Cagliari,,it Serie A,
Antoine Semenyo,gh GHA,24,2000,FW,Bournemouth,eng Premier League,37,36,3203,11,5,16,95.93712930011863,91.48873072360617,95.72953736654804,Bournemouth,,eng Premier League,
Anton Stach,de GER,25,1998,"MF,DF",Hoffenheim,de Bundesliga,30,29,2585,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Hoffenheim,,de Bundesliga,
Antonio Blanco,es ESP,24,2000,MF,Alavés,es La Liga,35,32,2727,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Alavés,,es La Liga,
Antonio Nusa,no NOR,19,2005,"MF,DF",RB Leipzig,de Bundesliga,25,16,1558,3,3,6,72.27164887307237,79.7153024911032,75.62277580071175,RB Leipzig,,de Bundesliga,
Antonio Raimondo,it ITA,20,2004,"FW,DF",Venezia,it Serie A,9,0,94,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Venezia,,it Serie A,
